cbsa,name,line,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",all,117.032,117.656,113.363,113.996,113.859,114.897,115.228,113.648,113.8,111.943,107.255,106.217,108.6,106.215,109.939,107.011,106.864
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",housing,160.524,170.462,163.954,153.029,161.689,170.095,169.63,174.056,169.596,149.448,158.679,145.907,160.109,157.049,155.371,144.239,150.453
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",all,85.04,86.196,87.056,89.579,89.232,87.598,87.899,88.366,89.545,87.982,85.129,87.678,85.013,87.841,85.11,85.699,85.975
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",housing,49.891,54.87,53.999,61.34,59.446,54.751,55.956,55.251,60.127,56.642,52.853,60.087,49.527,55.709,54.313,55.734,57.72
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",all,88.22,86.347,89.743,88.777,89.944,89.816,90.965,89.553,89.204,89.192,91.734,86.716,88.97,90.092,91.426,89.877,87.708
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",housing,68.061,69.06,72.457,67.711,71.891,71.604,74.43,69.576,70.558,72.247,73.361,58.59,69.681,63.934,68.628,62.484,56.34
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",all,97.044,97.666,96.153,96.125,96.171,97.295,94.776,97.732,97.482,97.271,95.618,94.57,94.181,94.874,93.994,94.921,95.844
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",housing,73.42,78.244,77.198,78.915,79.95,80.618,76.621,81.638,80.317,75.563,75.75,74.587,71.053,76.229,78.574,75.959,80.989
15500,"Burlington, NC (Metropolitan Statistical Area)",all,92.501,91.873,92.495,93.466,93.312,93.846,92.707,93.188,92.183,92.184,91.415,90.43,89.724,89.406,92.019,92.954,93.196
15500,"Burlington, NC (Metropolitan Statistical Area)",housing,70.258,72.281,69.269,70.837,68.587,76.902,69.959,70.846,63.553,67.403,68.382,69.79,70.401,62.451,70.709,74.971,77.88
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",all,103.061,104.671,101.996,101.918,102.699,103.317,99.469,102.872,102.138,103.686,102.131,104.532,105.055,102.552,106.253,100.753,100.949
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",housing,115.585,125.613,118.553,124.654,130.631,120.487,108.559,121.955,113.371,117.984,111.62,132.907,126.511,118.304,123.793,101.922,103.842
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",all,93.385,92.112,92.614,91.226,92.209,92.012,91.946,91.087,90.351,90.265,90.887,91.073,88.873,89.732,88.734,88.604,89.406
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",housing,66.893,63.666,70.446,68.419,69.776,67.607,67.543,67.869,62.814,67.383,64.213,63.542,58.559,60.892,58.072,58.442,58.143
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",all,99.936,97.032,97.392,97.696,97.867,97.921,98.571,99.13,101.037,99.438,99.24,97.818,98.104,99.929,101.817,103.1,102.349
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",housing,106.454,96.945,93.862,92.212,93.333,96.25,96.189,98.302,106.372,101.51,109.378,108.911,110.59,111.58,123.161,126.815,125.113
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",all,81.277,83.045,87.836,86.954,88.529,89.429,88.118,86.294,86.124,85.166,87.782,90.039,88.851,88.517,86.156,86.056,86.078
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",housing,63.725,56.652,63.146,63.705,65.007,70.713,63.89,60.061,63.806,62.475,59.598,61.948,61.029,59.822,58.017,52.24,56.422
16180,"Carson City, NV (Metropolitan Statistical Area)",all,99.812,95.432,97.453,97.415,95.138,96.398,97.426,99.145,96.068,97.735,94.803,98.546,94.876,94.019,94.454,94.888,98.13
16180,"Carson City, NV (Metropolitan Statistical Area)",housing,94.65,80.143,91.93,94.613,87.164,91.141,93.384,88.351,84.573,90.706,93.254,103.513,92.175,98.753,98.197,93.423,101.176
16220,"Casper, WY (Metropolitan Statistical Area)",all,92.332,97.103,95.473,97.904,99.231,99.348,98.135,95.219,97.61,98.201,95.34,93.291,93.331,91.335,92.065,92.538,93.829
16220,"Casper, WY (Metropolitan Statistical Area)",housing,69.553,84.009,81.856,84.286,90.398,98.846,93.667,79.444,98.437,90.107,89.546,74.128,79.896,76.168,79.203,80.034,74.189
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",all,92.896,93.39,93.487,92.69,93.748,89.673,92.499,92.353,91.144,91.67,92.348,92.072,91.226,91.986,89.963,89.986,88.963
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",housing,73.12,75.643,75.571,80.911,81.764,59.986,73.504,78.241,71.839,77.948,74.743,72.639,67.632,77.691,75.89,71.24,71.447
16540,"Chambersburg, PA (Metropolitan Statistical Area)",all,98.034,97.733,96.374,96.237,95.448,97.307,94.974,96.23,96.14,98.022,96.176,94.558,94.273,94.969,93.906,94.371,94.642
16540,"Chambersburg, PA (Metropolitan Statistical Area)",housing,80.252,79.947,80.125,82.399,78.049,81.313,79.75,77.244,74.513,79.063,80.632,73.794,71.405,76.138,74.623,70.63,71.914
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",all,96.177,95.857,95.08,94.221,94.154,94.451,94.364,93.442,93.712,92.359,93.177,93.981,91.873,93.076,91.266,90.704,92.704
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",housing,90.053,88.479,83.332,86.478,82.542,84.6,82.509,84.525,84.354,81.948,75.053,78.436,73.398,75.783,72.299,67.825,71.604
16620,"Charleston, WV (Metropolitan Statistical Area)",all,90.743,89.791,91.771,94.425,93.411,91.761,92.411,92.179,92.717,90.358,90.52,89.794,87.402,91.322,89.833,89.058,88.717
16620,"Charleston, WV (Metropolitan Statistical Area)",housing,63.424,62.576,65.282,75.63,68.264,60.746,64.791,62.208,63.968,56.775,61.784,64.071,55.847,60.279,54.697,52.88,51.394
